AUID,Last,First,Ethnea,Genni,PubCountry
12872768_1,_Filho_,_Elias_Abdalla_,HISPANIC,M,Brazil
12565879_3,_Bou_Abdallah_,_Jad_,ARAB,M,France
17569133_1,_Abdel_Aziz_,_Ayman_,ARAB,M,USA
11213157_2,_Abdelmoula_,_Salma_,ARAB,F,Tunisia
11439058_1,_Abdou_,_Ibrahim_,ARAB,M,Egypt
10919608_3,_Abou_El_Fettouh_,_Hazem_,ARAB,M,USA
17314740_3,_Aboutaam_,_Rola_,ARAB,F,France
16564217_2,_Alvim_de_Abreu_Silva_Rodrigues_,_Aida_Alexandra_,HISPANIC,F,Brazil
6339395_2,_Cristina_Affonso_Scaletsky_,_Isabel_,HISPANIC,F,Brazil
7796089_2,_Agbenyega_,_Tsiri_,AFRICAN,-,Ghana
5473023_2,_Maria_Aguado_Garcia_,_Jose_,HISPANIC,M,Spain
15153355_4,_Aguilar_Guisado_,_Manuela_,HISPANIC,F,Spain
11981185_4,_Aguillon_Luna_,_Arturo_,HISPANIC,M,USA
12554913_2,_Ahmadzadeh_,_Ali_,ARAB,M,Iran
10066026_5,_Ibrahim_,_Ahmed_,ARAB,M,UnitedArabEmirates
17642770_2,_Letaief_,_Ahmed_,ARAB,M,Tunisia
14766995_2,_Shakeel_Ahmed_,_Mohammed_,ARAB,M,USA
16343417_1,_Aksoy_Dogan_,_Alev_,TURKISH,F,Turkey
3866040_3,_Nakatsukasa_Akune_,_Mitsumi_,JAPANESE,-,Japan
12663244_3,_Akyuz_,_Filiz_,TURKISH,F,Turkey
2830628_1,_Al_Gohary_,_Omaimah_,ARAB,F,SaudiArabia
12113661_3,_Al_Jedah_,_Jassim_,ARAB,M,Qatar
3104205_7,_Al_Khatib_,_Shadi_,ARAB,-,India
7520609_3,_Al_Najjar_,_Azmi_,ARAB,M,France
927746_1,_Alba_Conejo_,_Emilio_,HISPANIC,M,Spain
18451155_4,_Llaguno_,_Sheila_Alcantara_,HISPANIC,F,USA
9431676_4,_Alcocer_,_Marcos_,HISPANIC,M,UK
3720520_1,_Grazia_Alessandri_,_Maria_,ITALIAN,F,Italy
10480445_2,_Ali_Labib_,_Randa_,ARAB,F,Egypt
12636048_1,_Allie_Hamdulay_,_Shameez_,AFRICAN,-,SouthAfrica
15328551_1,_Moreira_Almeida_,_Alexander_,HISPANIC,M,Brazil
16407620_4,_Luiz_Jesus_de_Almeida_,_Jose_,HISPANIC,M,Brazil
12605668_3,_Sampaio_Almeida_,_Manuella_,HISPANIC,F,Brazil
10229547_3,_Alonso_,_Begona_,HISPANIC,F,Spain
9298994_2,_Luis_Alonso_Lebrero_,_Jose_,HISPANIC,M,Spain
3302694_2,_Alonso_Moraga_,_Angeles_,HISPANIC,F,Spain
8761793_5,_Aloui_,_Sabra_,ARAB,F,Tunisia
17106859_1,_Alpagut_Keskin_,_Nursen_,TURKISH,F,Turkey
938052_1,_Alscher_Herman_,_Ruth_,GERMAN,F,USA
16347222_3,_Garcia_Alsina_,_Joan_,HISPANIC,M,Spain
7126310_4,_Alva_Espinosa_,_Carlos_,HISPANIC,M,Mexico
12447210_3,_Bhasker_Alva_,_Thokur_Bhasker_,INDIAN,M,India
17354395_1,_Alvarado_,_Elvira_,HISPANIC,F,Colombia
17180801_2,_Freitas_de_Alvarenga_,_Katia_,HISPANIC,F,Brazil
